DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,GOOGLE2019,GOOGLE2010,GOOGLE2001
CREDIT HISTORY,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CREDIT HISTORY,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CREDIT HISTORY,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CREDIT HISTORY,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,
CREDIT HISTORY,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,
CURRENT LOCATION,LOCATION FROM DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,GOOGLE
CURRENT LOCATION,LOCATION FROM DEVICE,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,GOOGLE
CURRENT LOCATION,LOCATION FROM DEVICE,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
CURRENT LOCATION,LOCATION FROM DEVICE,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
CURRENT LOCATION,LOCATION FROM DEVICE,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
CURRENT LOCATION,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
CURRENT LOCATION,LOCATION FROM DEVICE,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,GOOGLE
CURRENT LOCATION,LOCATION FROM DEVICE,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,GOOGLE
CURRENT LOCATION,LOCATION FROM DEVICE,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,GOOGLE
