DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES,APPLE_CONCRETE_TEXT,APPLE_FOR_EXAMPLE,Facebook Concrete text,Facebook For Example,AMAZON_CONCRETE_TEXT,AMAZON_FOR_EXAMPLE,GOOGLE_CONCRETE_TEXT,GOOGLE_FOR_EXAMPLE,UserControlFacebook,USER_CONTROL_GOOGLE,DOWNLOADABLE_AMAZON,DOWNLOADABLE_APPLE,DownloadableFacebook,DOWNLOADABLE_GOOGLE,ERASABLE_AMAZON,ERASABLE_APPLE,ErasableFacebook,ERASABLE_GOOGLE
DEVICE IDENTIFIERS,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,FACEBOOK",39,26,,,"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.","Information we obtain from these devices includes: Identifiers: unique identifiers, device IDs, and other identifiers, such as from games, apps or accounts you use, and Family Device IDs (or other identifiers unique to Facebook Company Products associated with the same device or account).",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. ","On other platforms besides browsers, unique identifiers are used to recognize a specific device or app on that device. For example, a unique identifier such as the Advertising ID is used to provide relevant advertising on Android devices, and can be managed in your device’s settings. Unique identifiers may also be incorporated into a device by its manufacturer (sometimes called a universally unique ID or UUID), such as the IMEI-number of a mobile phone. For example, a device’s unique identifier can be used to customize our service to your device or analyze device issues related to our services.",No,No,,,No,,,,Unknown,Unknown
DEVICE INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,26,,,"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.","Information we obtain from these devices includes: Device attributes: information such as the operating system, hardware and software versions, battery level, signal strength, available storage space, browser type, app and file names and types, and plugins. ",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. ","For example, we can use information from your devices to help you decide which device you’d like to use to install an app or view a movie you buy from Google Play. We also use this information to help protect your account.",No,No,,,No,,,,Unknown,Unknown
DEVICE SETTINGS,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,26,,,"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.","Information we obtain from these devices includes: Network and connections: information such as the name of your mobile operator or ISP, language, time zone, mobile phone number, IP address, connection speed and, in some cases, information about other devices that are nearby or on your network, so we can do things like help you stream a video from your phone to your TV.",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. ","We collect information to provide better services to all our users — from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like",No,No,,,No,,,,Unknown,Unknown
DEVICE SIGNALS,DEVICE SIGNALS,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,26,,,"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.","Information we obtain from these devices includes:Device signals: Bluetooth signals, and information about nearby Wi-Fi access points, beacons, and cell towers.",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. ","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,,,No,,,,Unknown,Unknown
DRIVER'S LICENSE NUMBER,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,AMAZON,43,26,,,,,,,,,,,,,,,,,,Unknown
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,44,26,,,,,,,"From the Google One Terms of Service: ""We may work with third parties to provide their services or content to you as Member Benefits through Google One. In order to redeem a Member Benefit provided by a third party, you acknowledge that Google may provide to the third party any personal information necessary to process your redemption, in accordance with the Google Privacy Policy. Your use of any third party Member Benefits may be governed by such third party’s terms of use, license agreement, privacy policy, or other such agreement. Google disclaims any warranty, condition or representation in respect of any third party Member Benefits in any aspects including, but not limited to, quality, accuracy, effectiveness, security, non-infringement of third party rights and compliance with any applicable laws or regulations. These Terms will not affect your legal relationship with such third party providers.""",,,Yes,,,,,,,,Unknown
FILE INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"FACEBOOK,GOOGLE",45,26,,,"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.","For example, we use information collected about your use of our Products on your phone to better personalize the content (including ads) or features you see when you use our Products on another device, such as your laptop or tablet, or to measure whether you took an action in response to an ad we showed you on your phone on a different device.",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. ","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",No,,,,No,,,,Unknown,Unknown
IP ADDRESS,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,26,,,"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.","Network and connections: information such as the name of your mobile operator or ISP, language, time zone, mobile phone number, IP address, connection speed and, in some cases, information about other devices that are nearby or on your network, so we can do things like help you stream a video from your phone to your TV.",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support","For example, if you watch videos about baking on YouTube, you may see more ads that relate to baking as you browse the web. We also may use your IP address to determine your approximate location, so that we can serve you ads for a nearby pizza delivery service if you search for “pizza.”",No,,,,Yes,,,,Unknown,Unknown
LOCATION HISTORY,LOCATION FROM DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,26,,,"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.","Location-related information can be based on things like precise device location (if you've allowed us to collect it), IP addresses, and information from your and others' use of Facebook Products (such as check-ins or events you attend).",,,"When you turn on Location History, your device may send diagnostic information to Google about what’s working and not working for Location History. If you turn Location History off, you can decide whether to share usage and diagnostics information.... Some aggregated info can help partners, like Android developers, make their apps and products better, too.",,No,Yes,,,No,,,,Unknown,Unknown
LOGIN INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",48,26,,,"From the Facebook Login and Account Kit Overview: ""Facebook Login is a fast and convenient way for people to create accounts and log into your app across multiple platforms. It's available on iOS, Android, Web, Windows Phone, desktop apps and devices such as Smart TVs and Internet of Things objects. Facebook Login enables two scenarios, authentication and asking for permissions to access people's data. You can use Facebook Login simply for authentication or for both authentication and data access.""","For example, a game developer could use our API to tell us what games you play, or a business could tell us about a purchase you made in its store. We also receive information about your online and offline actions and purchases from third-party data providers who have the rights to provide us with your information.",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. ",,Yes,No,,,Partial,,,,Unknown,Unknown
NAME,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK",49,26,,,"From the Facebook Graph API Overview: ""The Graph API is named after the idea of a ""social graph"" — a representation of the information on Facebook. It's composed of: ",,,,"We’ll share personal information outside of Google when we have your consent. For example, if you use Google Home to make a reservation through a booking service, we’ll get your permission before sharing your name or phone number with the restaurant. ","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender; Your password and phone number; Emails you write and receive on Gmail; Photos and videos you save; Docs, Sheets, and Slides you create on Drive; Comments you make on YouTube; Contacts you add; Calendar events",,Yes,,,,,,,,Unknown
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"APPLE,FACEBOOK,GOOGLE",50,26,,,"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.","Location-related information can be based on things like precise device location (if you've allowed us to collect it), IP addresses, and information from your and others' use of Facebook Products (such as check-ins or events you attend).",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.","If you use Google’s Location services on Android, we can improve the performance of apps that rely on your location, like Google Maps. If you use Google’s Location services, your device sends information to Google about its location, sensors (like accelerometer), and nearby cell towers and Wi-Fi access points (like MAC address and signal strength). All these things help to determine your location. You can use your device settings to enable Google Location services.",No,No,,,No,,,,Unknown,Unknown
NETWORK INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",51,26,,,"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.","Network and connections: information such as the name of your mobile operator or ISP, language, time zone, mobile phone number, IP address, connection speed and, in some cases, information about other devices that are nearby or on your network, so we can do things like help you stream a video from your phone to your TV.",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. ","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. ",No,No,,,No,,,,Unknown,Unknown
NON-PERSONAL DATA,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,26,,,"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys.","We collect information about how you use our Products, such as the types of content you view or engage with; the features you use; the actions you take; the people or accounts you interact with; and the time, frequency and duration of your activities. For example, we log when you're using and have last used our Products, and what posts, videos and other content you view on our Products. We also collect information about how you use features like our camera.",,,"We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders.","For example, we allow YouTube creators and advertisers to work with measurement companies to learn about the audience of their YouTube videos or ads, using cookies or similar technologies.",No,No,,,No,No,,,No,Unknown
PAYMENT CARD INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,FACEBOOK,GOOGLE",53,26,,,"We won’t sell or rent your Personal Information to anyone outside of Facebook Payments, including our parent company, Facebook, Inc. We’ll only give this info when it’s needed to process your payment, or if it’s a legal requirement, like in response to a subpoena or an independent audit. We require that anyone who receives this information will only use it for those purposes.","If you use our Products for purchases or other financial transactions (such as when you make a purchase in a game or make a donation), we collect information about the purchase or transaction. This includes payment information, such as your credit or debit card number and other card information; other account and authentication information; and billing, shipping and contact details.",,,"Per the Google Payments Privacy Policy - We will only share your personal information with other companies or individuals outside of Google in the following circumstances: As permitted under the Google Privacy Policy. As necessary to process your transaction and maintain your account. To complete your registration for a service provided by a third party. To inform a third party merchant, whose site or app you visit, whether you have a Google Payments account that can be used for making payment to that merchant.","For example, when you make a purchase or transaction using Google Payments, we make certain personal information about you available to the company or individual you purchase from or transact with. This includes sharing your personal information with the developer from whom you purchased when you use Google Payments to make a purchase on Google Play. When you add a third party form of payment to your Google Payments Account, we may exchange certain personal information about you, such as your name, profile image, email, IP and billing address, phone number, device info, location, and Google Account activity info, with the third party payment provider as necessary to provide the service.",No,No,,,,,,,No,Unknown
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",54,26,,,"From Facebook's Graph API documentation for developers: ""You can get a User's profile picture with the picture edge of the /user node.""","We also use a part of your profile, called your Public Profile, to help connect you with friends and family. Your Public Profile includes your name, gender, username and user ID (account number), profile picture, cover photo and networks. This info is also public.",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. ",,No,"to detect, prevent, or otherwise address fraud, security, or technical issues.",,,Yes,,,,Unknown,Unknown
PHOTOS,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"FACEBOOK,GOOGLE",55,26,,,"From the Facebook Graph API documentation: ""Any valid access token can read photos on a public Page. A page access token can read all photos posted to or posted by that Page. The current user's photos can be read if the user has granted the user_photos or user_posts permission. A user access token may read a photo that the current user is tagged in if they have granted the user_photos or user_posts permission. However, in some cases the photo's owner's privacy settings may not allow your application to access it.""","We collect information about how you use our Products, such as the types of content you view or engage with; the features you use; the actions you take; the people or accounts you interact with; and the time, frequency and duration of your activities. For example, we log when you're using and have last used our Products, and what posts, videos and other content you view on our Products. We also collect information about how you use features like our camera.",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. ","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",Yes,No,,,No,,,,Unknown,Unknown
PRODUCT USE,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",57,26,,,"We use the information we have (including your activity off our Products, such as the websites you visit and ads you see) to help advertisers and other partners measure the effectiveness and distribution of their ads and services, and understand the types of people who use their services and how people interact with their websites, apps, and services.","We collect information about how you use our Products, such as the types of content you view or engage with; the features you use; the actions you take; the people or accounts you interact with; and the time, frequency and duration of your activities. For example, we log when you're using and have last used our Products, and what posts, videos and other content you view on our Products. We also collect information about how you use features like our camera.",,,"We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders. For example, we share information publicly to show trends about the general use of our services.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,,,Partial,,,,Unknown,Unknown
PUBLIC DATA,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,FACEBOOK,GOOGLE",58,26,,,"When you choose to use third-party apps, websites, or other services that use, or are integrated with, our Products, they can receive information about what you post or share.... Also, when you download or use such third-party services, they can access your public profile on Facebook, and any information that you share with them.","For example, when you play a game with your Facebook friends or use a Facebook Comment or Share button on a website, the game developer or website can receive information about your activities in the game or receive a comment or link that you share from the website on Facebook.",,,"We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders.","In some circumstances, Google also collects information about you from publicly accessible sources. For example, if your name appears in your local newspaper, Google’s Search engine may index that article and display it to other people if they search for your name. We may also collect information about you from trusted partners, including marketing partners who provide us with information about potential customers of our business services, and security partners who provide us with information to protect against abuse.",Yes,No,,,Yes,,,,Unknown,Unknown
PURCHASE HISTORY,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,FACEBOOK",59,26,,,"When you subscribe to receive premium content, or buy something from a seller in our Products, the content creator or seller can receive your public information and other information you share with them, as well as the information needed to complete the transaction, including shipping and contact details.",,,,,,No,,,,,,,,No,Unknown
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,AMAZON.FACEBOOK,60,26,,,"We use the information we have (including your activity off our Products, such as the websites you visit and ads you see) to help advertisers and other partners measure the effectiveness and distribution of their ads and services, and understand the types of people who use their services and how people interact with their websites, apps, and services.",,,,"When you click on a search result in Google Search, your web browser also may send the Internet address, or URL, of the search results page to the destination webpage as the Referrer URL. The URL of the search results page may sometimes contain the search query you entered. If you are using SSL Search (Google’s encrypted search functionality), under most circumstances, your search terms will not be sent as part of the URL in the Referrer URL. There are some exceptions to this behavior, such as if you are using some less popular browsers. More information on SSL Search can be found here. Search queries or information contained in the Referrer URL may be available via Google Analytics or an application programming interface (API). In addition, advertisers may receive information relating to the exact keywords that triggered an ad click.",,No,No,,,Yes,No,,,Yes,Yes
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,26,,,,"Information we obtain from these devices includes: Network and connections: information such as the name of your mobile operator or ISP, language, time zone, mobile phone number, IP address, connection speed and, in some cases, information about other devices that are nearby or on your network, so we can do things like help you stream a video from your phone to your TV.",,,,"The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. ",No,,,,No,,,,,Unknown
SOCIAL SECURITY NUMBER,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,AMAZON,62,26,,,,,,,,,,,,,,,,,,Unknown
USER'S CONTACT INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",63,26,,,"When you subscribe to receive premium content, or buy something from a seller in our Products, the content creator or seller can receive your public information and other information you share with them, as well as the information needed to complete the transaction, including shipping and contact details.",,,,,,No,,,,Yes,,,,Unknown,Unknown
ACCOUNT INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",28,27,,,"We provide information and content to vendors and service providers who support our business, such as by providing technical infrastructure services, analyzing how our Products are used, providing customer service, facilitating payments or conducting surveys. We also provide information and content to research partners and academics to conduct research that advances scholarship and innovation that support our business or mission, and enhances discovery and innovation on topics of general social welfare, technological advancement, public interest, health and well-being.","We collect the content, communications and other information you provide when you use our Products, including when you sign up for an account, create or share content, and message or communicate with others. This can include information in or about the content you provide (like metadata), such as the location of a photo or the date a file was created.",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. ","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender; Your password and phone number; Emails you write and receive on Gmail; Photos and videos you save; Docs, Sheets, and Slides you create on Drive; Comments you make on YouTube; Contacts you add; Calendar events",No,No,,,Unknown,,,,Unknown,Unknown
APP INFORMATION,BEHAVIOR ON DEVICE,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,27,,,We share information about you with companies that aggregate it to provide analytics and measurement reports to our partners.,"Information we obtain from these devices includes: Device attributes: information such as the operating system, hardware and software versions, battery level, signal strength, available storage space, browser type, app and file names and types, and plugins.",,,"Without identifying you personally to advertisers or other third parties, we might use data that includes your searches and location, websites and apps you’ve used, videos and ads you’ve seen, and basic information you’ve given us, such as your age range and gender.",,No,No,,,Partial,No,,,No,Unknown
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,27,,,We share information about you with companies that aggregate it to provide analytics and measurement reports to our partners.,"Information we obtain from these devices includes: Device operations: information about operations and behaviors performed on the device, such as whether a window is foregrounded or backgrounded, or mouse movements (which can help distinguish humans from bots).",,,"Without identifying you personally to advertisers or other third parties, we might use data that includes your searches and location, websites and apps you’ve used, videos and ads you’ve seen, and basic information you’ve given us, such as your age range and gender.","For example, we collect information about views and interactions with ads so we can provide aggregated reports to advertisers, like telling them whether we served their ad on a page and whether the ad was likely seen by a viewer. We may also measure other interactions, such as how you move your mouse over an ad or if you interact with the page on which the ad appears.",No,No,,,No,No,,,Unknown,Unknown
CAMERA INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,27,,,"When you choose to use third-party apps, websites, or other services that use, or are integrated with, our Products, they can receive information about what you post or share. For example, when you play a game with your Facebook friends or use a Facebook Comment or Share button on a website, the game developer or website can receive information about your activities in the game or receive a comment or link that you share from the website on Facebook. ","We collect the content, communications and other information you provide when you use our Products, including when you sign up for an account, create or share content, and message or communicate with others. This can include information in or about the content you provide (like metadata), such as the location of a photo or the date a file was created. It can also include what you see through features we provide, such as our camera, so we can do things like suggest masks and filters that you might like, or give you tips on using camera formats.",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","We collect this information when a Google service on your device contacts our servers — for example, when you install an app from the Play Store or when a service checks for automatic updates. If you’re using an Android device with Google apps, your device periodically contacts Google servers to provide information about your device and connection to our services. Android devices with Google apps include devices sold by Google or one of our partners and include phones, cameras, vehicles, wearables, and televisions. These devices use Google Play Services and other pre-installed apps that include services like Gmail, Maps, your phone’s camera and phone dialer, text-to-speech conversion, keyboard input, and security features.",Yes,No,,,No,,,,Unknown,Unknown
CONTACTS' INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,FACEBOOK,34,27,,,We share information about you with companies that aggregate it to provide analytics and measurement reports to our partners.,"We collect information about the people, Pages, accounts, hashtags and groups you are connected to and how you interact with them across our Products, such as people you communicate with the most or groups you are part of. We also collect contact information if you choose to upload, sync or import it from a device (such as an address book or call log or SMS log history), which we use for things like helping you and others find people you may know and for the other purposes listed below.",,,,"We collect information about your activity in our services, which we use to do things like recommend a YouTube video you might like. The activity information we collect may include: People with whom you communicate or share content",Yes,,,,Yes,,,,Unknown,Unknown
CURRENT LOCATION,LOCATION FROM DEVICE,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,27,,,"For example, we provide general demographic and interest information to advertisers (for example, that an ad was seen by a woman between the ages of 25 and 34 who lives in Madrid and likes software engineering) to help them better understand their audience. ","We use location-related information-such as your current location, where you live, the places you like to go, and the businesses and people you're near-to provide, personalize and improve our Products, including ads, for you and others. Location-related information can be based on things like precise device location (if you've allowed us to collect it), IP addresses, and information from your and others' use of Facebook Products (such as check-ins or events you attend).",,,"Without identifying you personally to advertisers or other third parties, we might use data that includes your searches and location, websites and apps you’ve used, videos and ads you’ve seen, and basic information you’ve given us, such as your age range and gender.","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you. Your location can be determined with varying degrees of accuracy by: GPS; IP address; Sensor data from your device; Information about things near your device, such as Wi-Fi access points, cell towers, and Bluetooth-enabled devices.",No,No,,,Partial,,,,Unknown,Unknown
DATE OF BIRTH,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,27,,,We share information about you with companies that aggregate it to provide analytics and measurement reports to our partners.,"We collect the content, communications and other information you provide when you use our Products, including when you sign up for an account, create or share content, and message or communicate with others.",,,"We will share personal information outside of Google if we have a good-faith belief that access, use, preservation, or disclosure of the information is reasonably necessary to: Meet any applicable law, regulation, legal process, or enforceable governmental request. We share information about the number and type of requests we receive from governments in our Transparency Report. Enforce applicable Terms of Service, including investigation of potential violations. Detect, prevent, or otherwise address fraud, security, or technical issues. Protect against harm to the rights, property or safety of Google, our users, or the public as required or permitted by law.","We may also use payment information to verify that you meet age requirements, if, for example, you enter an incorrect birthday indicating you’re not old enough to have a Google Account.",No,No,,,Yes,,,,Unknown,Unknown
DEMOGRAPHICS,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",38,27,,,"We provide advertisers with reports about the kinds of people seeing their ads and how their ads are performing, but we don't share information that personally identifies you (information such as your name or email address that by itself can be used to contact you or identifies who you are) unless you give us permission.","For example, we provide general demographic and interest information to advertisers (for example, that an ad was seen by a woman between the ages of 25 and 34 who lives in Madrid and likes software engineering) to help them better understand their audience.",,,"We give advertisers data about their ads’ performance, but we do so without revealing any of your personal information. At every point in the process of showing you ads, we keep your personal information protected and private.","For instance, ”35- to 44-year-old females who are interested in travel.”",No,No,,,No,No,,,Unknown,Unknown
DEVICE IDENTIFIERS,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK",39,27,,,We share information about you with companies that aggregate it to provide analytics and measurement reports to our partners.,"Information we obtain from these devices includes: Identifiers: unique identifiers, device IDs, and other identifiers, such as from games, apps or accounts you use, and Family Device IDs (or other identifiers unique to Facebook Company Products associated with the same device or account).",,,"We will share personal information outside of Google if we have a good-faith belief that access, use, preservation, or disclosure of the information is reasonably necessary to: Meet any applicable law, regulation, legal process, or enforceable governmental request. We share information about the number and type of requests we receive from governments in our Transparency Report. Enforce applicable Terms of Service, including investigation of potential violations. Detect, prevent, or otherwise address fraud, security, or technical issues. Protect against harm to the rights, property or safety of Google, our users, or the public as required or permitted by law.","On other platforms besides browsers, unique identifiers are used to recognize a specific device or app on that device. For example, a unique identifier such as the Advertising ID is used to provide relevant advertising on Android devices, and can be managed in your device’s settings. Unique identifiers may also be incorporated into a device by its manufacturer (sometimes called a universally unique ID or UUID), such as the IMEI-number of a mobile phone. For example, a device’s unique identifier can be used to customize our service to your device or analyze device issues related to our services.",No,No,,,No,,,,Unknown,Unknown
DEVICE INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,27,,,We share information about you with companies that aggregate it to provide analytics and measurement reports to our partners.,"Information we obtain from these devices includes: Device attributes: information such as the operating system, hardware and software versions, battery level, signal strength, available storage space, browser type, app and file names and types, and plugins. ",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.","For example, we can use information from your devices to help you decide which device you’d like to use to install an app or view a movie you buy from Google Play. We also use this information to help protect your account.",No,No,,,No,,,,Unknown,Unknown
DEVICE SETTINGS,DEVICE INFO,THIRD PARTY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,27,,,We share information about you with companies that aggregate it to provide analytics and measurement reports to our partners.,"Information we obtain from these devices includes: Network and connections: information such as the name of your mobile operator or ISP, language, time zone, mobile phone number, IP address, connection speed and, in some cases, information about other devices that are nearby or on your network, so we can do things like help you stream a video from your phone to your TV.",,,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.","We collect information to provide better services to all our users — from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like",No,No,,,No,,,,Unknown,Unknown
